id,open_price,high_price,low_price,close_price,volume,stock_id,observation_date
201,28.7,28.96,28.37,28.65,839901,3,2018-12-10 00:00:00
202,29.13,29.56,28.75,28.78,775300,3,2018-12-07 00:00:00
203,29.14,29.18,28.78,29.17,1504300,3,2018-12-06 00:00:00
204,29.75,30.04,29.32,29.36,502500,3,2018-12-05 00:00:00
205,29.89,30.23,29.7,29.75,604800,3,2018-12-04 00:00:00
206,30.55,30.59,29.84,30,725300,3,2018-12-03 00:00:00
207,30.2,30.6,30.13,30.47,1413100,3,2018-11-30 00:00:00
208,30.5,30.79,30.5,30.64,555100,3,2018-11-29 00:00:00
209,30.29,30.55,30.09,30.55,694900,3,2018-11-28 00:00:00
210,30.66,30.72,30.1,30.24,577300,3,2018-11-27 00:00:00
211,30.72,30.9,30.62,30.7,552800,3,2018-11-26 00:00:00
212,30.3,30.71,30.28,30.59,338800,3,2018-11-23 00:00:00
213,30.49,30.51,30.32,30.44,193100,3,2018-11-22 00:00:00
214,30.41,30.64,30.32,30.38,818400,3,2018-11-21 00:00:00
215,30.56,30.59,30.23,30.38,2545100,3,2018-11-20 00:00:00
216,30.76,30.87,30.57,30.74,381900,3,2018-11-19 00:00:00
217,30.69,30.94,30.65,30.82,508200,3,2018-11-16 00:00:00
218,30.65,30.8,30.52,30.8,717200,3,2018-11-15 00:00:00
219,30.62,30.97,30.61,30.73,829500,3,2018-11-14 00:00:00
220,30.48,30.72,30.41,30.6,598500,3,2018-11-13 00:00:00
221,30.54,30.58,30.34,30.43,508700,3,2018-11-12 00:00:00
222,30.49,30.85,30.45,30.54,434700,3,2018-11-09 00:00:00
223,30.73,30.75,30.52,30.63,428000,3,2018-11-08 00:00:00
224,30.89,30.91,30.62,30.72,391500,3,2018-11-07 00:00:00
225,30.9,30.91,30.55,30.81,446100,3,2018-11-06 00:00:00
226,30.28,30.93,30.14,30.93,1543000,3,2018-11-05 00:00:00
227,30.1,30.32,30.05,30.31,722100,3,2018-11-02 00:00:00
228,29.86,30.15,29.85,30.1,718500,3,2018-11-01 00:00:00
229,29.58,30.31,29.58,30.21,4005100,3,2018-10-31 00:00:00
230,29.81,29.95,29.47,29.65,739400,3,2018-10-30 00:00:00
231,30.23,30.3,29.62,29.75,1917800,3,2018-10-29 00:00:00
232,29.76,30.2,29.74,30.09,759700,3,2018-10-26 00:00:00
233,29.95,30.12,29.83,29.91,1356000,3,2018-10-25 00:00:00
234,30.21,30.23,29.71,29.76,591300,3,2018-10-24 00:00:00
235,29.89,30.32,29.87,30.23,551500,3,2018-10-23 00:00:00
236,30.01,30.13,29.79,30.11,842500,3,2018-10-22 00:00:00
237,29.88,30.18,29.88,29.91,882900,3,2018-10-19 00:00:00
238,30.18,30.25,29.79,29.84,705900,3,2018-10-18 00:00:00
239,29.95,30.24,29.9,30.18,599200,3,2018-10-17 00:00:00
240,30.03,30.03,29.72,30.01,590800,3,2018-10-16 00:00:00
241,30.11,30.27,29.79,29.79,498500,3,2018-10-15 00:00:00
242,30.49,30.49,29.92,30.2,870400,3,2018-10-12 00:00:00
243,30.59,30.59,30,30.07,932500,3,2018-10-11 00:00:00
244,31.05,31.18,30.68,30.83,955800,3,2018-10-10 00:00:00
245,31.27,31.39,31.11,31.11,484500,3,2018-10-09 00:00:00
246,31.44,31.59,31.21,31.33,663800,3,2018-10-05 00:00:00
247,30.88,31.5,30.75,31.45,842500,3,2018-10-04 00:00:00
248,30.88,30.95,30.54,30.95,683400,3,2018-10-03 00:00:00
249,30.98,31,30.8,30.8,414200,3,2018-10-02 00:00:00
250,31.34,31.65,30.98,31.04,382600,3,2018-10-01 00:00:00
251,31.36,31.39,31.18,31.34,1014000,3,2018-09-28 00:00:00
252,31.79,31.79,31.29,31.35,1676600,3,2018-09-27 00:00:00
253,31.59,31.8,31.58,31.73,1103500,3,2018-09-26 00:00:00
254,31.64,31.78,31.59,31.65,545300,3,2018-09-25 00:00:00
255,31.55,31.64,31.5,31.63,894700,3,2018-09-24 00:00:00
256,31.44,31.61,31.33,31.61,1615900,3,2018-09-21 00:00:00
257,31,31.52,30.95,31.51,1221000,3,2018-09-20 00:00:00
258,30.25,31.05,30.25,30.96,2135600,3,2018-09-19 00:00:00
259,30.72,30.72,30.17,30.3,1323400,3,2018-09-18 00:00:00
260,31,31.03,30.7,30.76,599400,3,2018-09-17 00:00:00
261,30.97,31.14,30.83,30.99,597000,3,2018-09-14 00:00:00
262,30.88,31.07,30.85,30.93,267900,3,2018-09-13 00:00:00
263,30.96,31.04,30.79,30.93,411900,3,2018-09-12 00:00:00
264,30.88,31.13,30.66,31.01,421700,3,2018-09-11 00:00:00
265,31.2,31.2,30.83,30.89,317100,3,2018-09-10 00:00:00
266,31.34,31.34,31.01,31.2,644700,3,2018-09-07 00:00:00
267,31.25,31.53,31.17,31.39,409600,3,2018-09-06 00:00:00
268,31.09,31.32,30.95,31.25,550500,3,2018-09-05 00:00:00
269,31.81,31.82,31.04,31.14,528700,3,2018-09-04 00:00:00
270,31.9,31.9,31.7,31.84,708500,3,2018-08-31 00:00:00
271,31.96,31.98,31.8,31.95,638900,3,2018-08-30 00:00:00
272,32.22,32.4,32.13,32.23,474500,3,2018-08-29 00:00:00
273,32.24,32.4,32.18,32.19,319900,3,2018-08-28 00:00:00
274,32.25,32.31,32.14,32.22,678100,3,2018-08-27 00:00:00
275,32.35,32.38,32.16,32.17,735700,3,2018-08-24 00:00:00
276,32.56,32.59,32.37,32.41,332100,3,2018-08-23 00:00:00
277,32.59,32.64,32.53,32.61,216400,3,2018-08-22 00:00:00
278,32.68,32.72,32.51,32.58,655300,3,2018-08-21 00:00:00
279,32.6,32.81,32.6,32.66,434600,3,2018-08-20 00:00:00
280,32.66,32.71,32.58,32.6,370600,3,2018-08-17 00:00:00
281,32.45,32.8,32.42,32.61,442100,3,2018-08-16 00:00:00
282,31.98,32.42,31.97,32.36,454600,3,2018-08-15 00:00:00
283,31.95,32.12,31.94,32.1,897500,3,2018-08-14 00:00:00
284,32,32.02,31.88,31.92,453000,3,2018-08-13 00:00:00
285,31.95,32.01,31.79,32,422000,3,2018-08-10 00:00:00
286,32.16,32.19,31.96,31.98,501200,3,2018-08-09 00:00:00
287,32,32.17,31.93,32.07,384900,3,2018-08-08 00:00:00
288,32.43,32.5,31.9,31.97,781200,3,2018-08-07 00:00:00
289,32.4,32.46,32.35,32.4,347600,3,2018-08-03 00:00:00
290,32.5,32.53,32.25,32.42,643900,3,2018-08-02 00:00:00
291,32.7,33.1,32.5,32.56,1034100,3,2018-08-01 00:00:00
292,32.4,32.58,32.15,32.15,880700,3,2018-07-31 00:00:00
293,32.38,32.53,32.37,32.43,270300,3,2018-07-30 00:00:00
294,32.72,32.72,32.31,32.33,520100,3,2018-07-27 00:00:00
295,32.5,32.74,32.49,32.72,349600,3,2018-07-26 00:00:00
296,32.39,32.55,32.3,32.52,346500,3,2018-07-25 00:00:00
297,32.12,32.49,32.12,32.39,689400,3,2018-07-24 00:00:00
298,32,32.16,31.98,32.02,329200,3,2018-07-23 00:00:00
299,32.13,32.19,31.96,32.01,431200,3,2018-07-20 00:00:00
300,32.29,32.32,32.01,32.11,434000,3,2018-07-19 00:00:00
